CountryName	UrbanAverage	RuralAverage
Afghanistan	0	0
Albania	1689.403809	26686.71094
Algeria	30195.79688	2285675.75
American Samoa	116.1668701	87.64226532
Andorra	0	0
Angola	1427.029541	1248198.625
Antigua and Barbuda	266.2775574	167.8600616
Arab World	193254.6571	13247809.63
Argentina	55032.20313	2690269.5
Armenia	0	0
Aruba	172.8477478	9.008321762
Australia	36745.70313	7641564.5
Austria	0	0
Azerbaijan	0	0
"Bahamas, The"	425.8963623	12245.5166
Bahrain	549.2779541	115.1443634
Bangladesh	11125.3916	123889.625
Barbados	420.3754272	14.80739212
Belarus	7783.031738	198055.7813
Belgium	12349.22852	18091.89063
Belize	508.0564575	21296.04492
Benin	1447.184937	113916.9609
Bermuda	38.61519241	22.78402901
Bhutan	0	0
Bolivia	0	0
Bosnia and Herzegovina	1723.146729	49338.41797
Botswana	0	0
Brazil	134981.375	8241430
British Virgin Islands	51.4707756	106.7865906
Brunei Darussalam	1017.068604	4743.62207
Bulgaria	6678.94043	103838.0078
Burkina Faso	0	0
Burundi	0	0
Cabo Verde	180.3818817	3913.569092
Cambodia	1152.062866	176298.1875
Cameroon	3680.405762	459153.1875
Canada	126511.1641	9084045
Caribbean small states	9341.820633	393218.2085
Cayman Islands	160.9671021	64.61621094
Central African Republic	0	0
Central Europe and the Baltics	71091.07813	829422.9101
Chad	0	0
Channel Islands	0	0
Chile	12027.5166	709418.75
China	380679.3	8868577
Colombia	36132.13672	1090598.125
Comoros	196.407196	1478.78833
"Congo, Dem. Rep."	9061.722656	2278811.75
"Congo, Rep."	1087.161865	338427.125
Costa Rica	4051.562988	46479.98438
Cote d'Ivoire	3466.161621	314812.3438
Croatia	5302.795898	51019.57031
Cuba	9572.447266	100440.7969
Curacao	0	0
Cyprus	2280.400391	6949.833984
Czech Republic	0	0
Denmark	9295.174805	33044.11719
Djibouti	149.8288422	21411.55273
Dominica	251.302948	503.7093811
Dominican Republic	5089.375977	42784.17969
Early-demographic dividend	895934.1262	27317793.27
East Asia & Pacific	701588.055	22098309.76
East Asia & Pacific (excluding high income)	509762.1198	13813910.57
East Asia & Pacific (IDA & IBRD countries)	507314.3261	13694589.53
Ecuador	10905.65137	244458.2344
"Egypt, Arab Rep."	24270.23242	951268.875
El Salvador	3598.269287	16349.95117
Equatorial Guinea	97.47089386	26800.91797
Eritrea	366.6149292	122239.8281
Estonia	2614.681396	40498.62109
Ethiopia	5166.71582	1117893.375
Euro area	390687.3584	2175027.394
Europe & Central Asia	861358.8628	22064738.74
Europe & Central Asia (excluding high income)	306135.4069	18298350.99
Europe & Central Asia (IDA & IBRD countries)	341939.5446	18627211.06
European Union	547911.4707	3433973.73
Faroe Islands	335.4758301	1379.931396
Fiji	1746.58667	17199.44379
Finland	20052.17383	289666.2813
Fragile and conflict affected situations	82932.29476	11752514.99
France	86463.0625	457993.5938
French Polynesia	238.1499786	3787.225342
Gabon	836.4829102	261381.75
"Gambia, The"	446.1829224	10461.87305
Georgia	3602.762939	64912.71484
Germany	62374.19922	291859.2188
Ghana	6239.439453	224697.4844
Gibraltar	4.473595619	2.264643908
Greece	18519.16406	112653.5781
Greenland	33.34839249	242639.5938
Grenada	169.5156097	153.5099182
Guam	515.956604	33.10237503
Guatemala	4132.351074	103568.3359
Guinea	1473.595703	243431.1875
Guinea-Bissau	306.3417664	33629.69922
Guyana	626.756958	207343.4219
Haiti	764.3450928	26163.41602
Heavily indebted poor countries (HIPC)	66416.76366	13878033.3
High income	1773460.961	32909276.44
Honduras	3702.359375	108150.5781
"Hong Kong SAR, China"	901.5428467	231.1713409
Hungary	0	0
IBRD only	1717678.388	61057908.11
Iceland	1023.837036	88593.21875
IDA & IBRD total	1896762.062	79871809.23
IDA blend	75475.57527	3319019.272
IDA only	103608.0987	15494881.84
IDA total	179083.674	18813901.12
India	222688.2344	2980489.25
Indonesia	42076.82813	1838682.625
"Iran, Islamic Rep."	69242.76563	1545056.125
Iraq	12429.91504	415377.6563
Ireland	5638.355957	63249.21484
Isle of Man	241.8645325	333.4710388
Israel	6399.019531	15621.7832
Italy	73540.88281	223236.4375
Jamaica	3000.631592	8015.424316
Japan	108678.2422	260649.5938
Jordan	3383.973877	86229.24219
Kazakhstan	0	0
Kenya	4187.614746	576333.75
Kiribati	3.643230915	985.0445251
"Korea, Dem. People’s Rep."	2343.61377	119243.4453
"Korea, Rep."	21922.01563	77155.28906
Kosovo	0	0
Kuwait	3942.298828	13422.94238
Kyrgyz Republic	0	0
Lao PDR	1018.75415	227855.5313
Late-demographic dividend	962553.0635	39108425.06
Latin America & Caribbean	462259.612	18127126.26
Latin America & Caribbean (excluding high income)	432696.2613	17231962.28
Latin America & the Caribbean (IDA & IBRD countries)	442624.7006	18012755.59
Latvia	3278.516846	60137.24219
Least developed countries: UN classification	71899.03828	15059561.38
Lebanon	2317.423828	8081.997559
Lesotho	0	0
Liberia	434.2752991	95634.38281
Libya	10082.89258	1606874.75
Liechtenstein	0	0
Lithuania	4610.856445	59360.13672
Low & middle income	1855851.226	78884793.98
Low income	39718.36179	8697479.628
Lower middle income	505195.9581	17577983.58
Luxembourg	801.083374	1782.765503
"Macao SAR, China"	17.72437096	11.18112087
"Macedonia, FYR"	2667.351074	21962.62305
Madagascar	2272.414795	587832.9375
Malawi	1815.103394	92909.46094
Malaysia	15564.95215	312833.0313
Maldives	0	291.7807007
Mali	2910.42749	1243208.25
Malta	293.3409119	30.62650871
Marshall Islands	0	284.8295898
Mauritania	771.6014404	1041101.875
Mauritius	1276.015869	727.6514893
Mexico	102418.1094	1831423.5
"Micronesia, Fed. Sts."	243.1120605	517.3094482
Middle East & North Africa	261305.5448	10642151.44
Middle East & North Africa (excluding high income)	193183.2078	8312627.181
Middle East & North Africa (IDA & IBRD countries)	190686.7495	8309122.121
Middle income	1816132.864	70187314.35
Moldova	2607.522217	31217.15234
Monaco	1.920578122	0.483293235
Mongolia	0	0
Montenegro	0	0
Morocco	12057.44141	659759.4375
Mozambique	2739.14502	769595.125
Myanmar	6960.023438	657996.3125
Namibia	2467.779053	822303.125
Nauru	11.98700333	10.04919243
Nepal	0	0
Netherlands	12802.99316	21411.86328
New Caledonia	208.4334564	18564.04102
New Zealand	8116.299805	253834.7031
Nicaragua	2882.378662	115694.2891
Niger	0	0
Nigeria	17196.23438	880103.3125
North America	928603.3716	17633613.29
Northern Mariana Islands	108.512558	379.3888855
Norway	20282.20508	292187.8125
Not classified	0	0
OECD members	1811316.358	32551468.86
Oman	5651.354004	307667.5313
